"X_id","uuid","start","end","start.geopoint","today","phonenumber","id_encuestador","ubicacion","a0","encuesta_id","a1","a2","a3","a5","a6","b1","b2","b3","b4","b5","b6","b7","total_edad","total_adultos","seccionH_count","e_a1","e_a2","e_a3","e_a4","total_alimentacion","gasto_alimentacion","e_b1","e_b2","e_b3","total_bebidas","gasto_bebidas","e_t1","e_t2","e_t3","e_t4","total_transporte","gasto_transporte","e_v1","e_v3","e_v4","e_v5","e_v6","e_v7","e_v8","e_v9","e_v10","e_v11","e_v12","e_v13","e_v14","e_v15","e_v16","e_v17","e_v18","total_vivienda","gasto_vivienda","e_s1","e_s2","e_s3","e_e1","e_o1","e_o2","e_o3","e_o4","e_o5","total_gastos_mensuales","gasto_mensuales","e_ah1","e_d1","e_r1","e_r1_1","e_r1_2","e_r1_3","e_r1_4","e_reg1","g1","h1","h4","X__version__","instanceID","X_xform_id_string","X_uuid","X_attachments","X_status","X_geolocation","X_submission_time","X_tags","X_notes","X_submitted_by","h2","h3","e_v2","a4","id_persona","c1","c2","c3","c5","c6","c7","c7_1","c8","c9","d1","d2","d3","d4","d5","d6","ind1","ind2","ind3","ind4","ind5","ind6","dep1","dep2","dep3","dep4","dep4_1","dep5","d3e","dep1e","ind2e","dep2e","c4","dep4e","e_r1_2e","g1e","condicion","ale_missing_b1","ale_missing_b2","ale_missing_b3","ale_missing_b4","ale_missing_b5","ale_missing_b6","ale_missing_b7","ale_missing_c1","ale_missing_c2","ale_missing_c3","ale_missing_c5","ale_missing_c6","ale_missing_d1","ale_missing_e_a1","ale_missing_e_a2","ale_missing_e_a3","ale_missing_e_a4","ale_missing_gasto_alimentacion","ale_missing_e_b1","ale_missing_e_b2","ale_missing_e_b3","ale_missing_gasto_bebidas","ale_missing_e_t1","ale_missing_e_t2","ale_missing_e_t3","ale_missing_gasto_transporte","ale_missing_e_v1","ale_missing_e_v2","ale_missing_e_v3","ale_missing_e_v4","ale_missing_e_v5","ale_missing_e_v6","ale_missing_e_v7","ale_missing_e_v8","ale_missing_e_v9","ale_missing_e_v10","ale_missing_e_v11","ale_missing_e_v12","ale_missing_e_v13","ale_missing_e_v14","ale_missing_e_v15","ale_missing_e_v16","ale_missing_e_v17","ale_missing_e_v18","ale_missing_gasto_vivienda","ale_missing_e_s1","ale_missing_e_s2","ale_missing_e_s3","ale_missing_e_e1","ale_missing_e_o1","ale_missing_e_o2","ale_missing_e_o3","ale_missing_e_o4","ale_missing_e_o5","ale_missing_gasto_mensuales","ale_missing_e_ah1","ale_missing_e_d1","ale_missing_e_r1","ale_missing_e_reg1","ale_missing_g1","ale_missing_c4","ale_missing_c7","ale_missing_c7_1","ale_missing_c8","ale_missing_c9","ale_missing_d2","ale_missing_d3","ale_missing_d3e","ale_missing_d4","ale_missing_d5","ale_missing_d6","ale_missing_ind1","ale_missing_ind2","ale_missing_ind2e","ale_missing_ind3","ale_missing_ind4","ale_missing_ind5","ale_missing_ind6","ale_missing_dep1","ale_missing_dep1e","ale_missing_dep2","ale_missing_dep2e","ale_missing_dep3","ale_missing_dep4","ale_missing_dep4e","ale_missing_dep4_1","ale_missing_dep5","ale_missing_e_t4","ale_missing_e_r1_1","ale_missing_e_r1_2","ale_missing_e_r1_2e","ale_missing_e_r1_3","ale_missing_e_r1_4","ale_missing_g1e","ale_missing_tot","ale_outlier_b1","ale_outlier_b2","ale_outlier_b3","ale_outlier_b4","ale_outlier_b5","ale_outlier_b6","ale_outlier_b7","ale_outlier_c2","ale_outlier_d4","ale_outlier_ind4","ale_outlier_ind5","ale_outlier_dep3","ale_outlier_dep4_1","ale_outlier_e_a1","ale_outlier_e_a2","ale_outlier_e_a3","ale_outlier_e_a4","ale_outlier_e_b1","ale_outlier_e_b2","ale_outlier_e_b3","ale_outlier_e_t1","ale_outlier_e_t2","ale_outlier_e_t4","ale_outlier_e_v2","ale_outlier_e_v3","ale_outlier_e_v12","ale_outlier_e_v14","ale_outlier_e_v15","ale_outlier_e_v16","ale_outlier_e_v17","ale_outlier_e_v18","ale_outlier_e_s1","ale_outlier_e_s2","ale_outlier_e_s3","ale_outlier_e_e1","ale_outlier_e_o1","ale_outlier_e_o2","ale_outlier_e_o3","ale_outlier_e_o4","ale_outlier_e_o5","ale_outlier_e_ah1","ale_outlier_e_d1","ale_outlier_e_r1_4","ale_outlier_e_reg1","ale_outlier_tot","ale_no_respuesta_d4","ale_no_respuesta_ind4","ale_no_respuesta_ind5","ale_no_respuesta_dep3","ale_no_respuesta_dep4_1","ale_no_respuesta_e_a1","ale_no_respuesta_e_a2","ale_no_respuesta_e_a3","ale_no_respuesta_e_a4","ale_no_respuesta_e_b1","ale_no_respuesta_e_b2","ale_no_respuesta_e_b3","ale_no_respuesta_e_t1","ale_no_respuesta_e_t2","ale_no_respuesta_e_t4","ale_no_respuesta_e_v2","ale_no_respuesta_e_v3","ale_no_respuesta_e_v12","ale_no_respuesta_e_v14","ale_no_respuesta_e_v15","ale_no_respuesta_e_v16","ale_no_respuesta_e_v17","ale_no_respuesta_e_v18","ale_no_respuesta_e_s1","ale_no_respuesta_e_s2","ale_no_respuesta_e_s3","ale_no_respuesta_e_e1","ale_no_respuesta_e_o1","ale_no_respuesta_e_o2","ale_no_respuesta_e_o3","ale_no_respuesta_e_o4","ale_no_respuesta_e_o5","ale_no_respuesta_e_ah1","ale_no_respuesta_e_d1","ale_no_respuesta_e_r1_4","ale_no_respuesta_e_reg1","ale_no_respuesta_tot","difference_min","duration_minutes","ale_incong_flag_duration_mas","ale_incong_flag_duration_menos","ale_incong_hogar","ale_incong_jefe","trabajan_ind","ale_incong_trabajo","adulto","adultos_reportados","ale_incong_adulto","ale_incongruencias_tot","alerta_general"
657223599,"6e6d73b40f8444388109c7a5263cef17",2025-04-14 09:05:01.067,2025-04-14 09:38:39.493,"-0.178632 -78.479699 2784.487901687622 35","2025-04-13","phonenumber not found","19","-0.178591 -78.479702 2784.7653045654297 35","14","19-093436","1","1","1","4","1",2,0,0,0,2,0,2,"2",2,"2",30,50,20,20,"120","1",6,20,20,"46","1",0,20,"2",35,"55","1","4",200,"1","2","2","1","1","1","2","3",5,"2 4 5 7",50,30,20,0,0,"300","1",100,9999,0,0,30,0,0,200,9999,"551","1",9999,9999,"1","1","7","3",200,300,"1 4 5",NA,NA,"v2UtqwQK75VACsoYkgYjZu","uuid:3f222fdf-0ebd-4e62-a719-59687979ca78","apTvGCaDwt2EKosqmDhXFG","3f222fdf-0ebd-4e62-a719-59687979ca78","","submitted_via_web","-0.178632, -78.479699","2025-04-14T14:38:41","","",NA,NA,NA,NA,NA,"persona_1","1",40,"1","1","3",NA,NA,"1 3","4","1","6","88",70,NA,"8","2024-06-14","5","1",1800,9999,"4",NA,NA,NA,NA,NA,NA,"Servicio de delivery",NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,5,33.6404333353043,34,0,0,0,0,1,1,1,2,0,1,1
657223599,"6e6d73b40f8444388109c7a5263cef17",2025-04-14 09:05:01.067,2025-04-14 09:38:39.493,"-0.178632 -78.479699 2784.487901687622 35","2025-04-13","phonenumber not found","19","-0.178591 -78.479702 2784.7653045654297 35","14","19-093436","1","1","1","4","1",2,0,0,0,2,0,2,"2",2,"2",30,50,20,20,"120","1",6,20,20,"46","1",0,20,"2",35,"55","1","4",200,"1","2","2","1","1","1","2","3",5,"2 4 5 7",50,30,20,0,0,"300","1",100,9999,0,0,30,0,0,200,9999,"551","1",9999,9999,"1","1","7","3",200,300,"1 4 5",NA,NA,"v2UtqwQK75VACsoYkgYjZu","uuid:3f222fdf-0ebd-4e62-a719-59687979ca78","apTvGCaDwt2EKosqmDhXFG","3f222fdf-0ebd-4e62-a719-59687979ca78","","submitted_via_web","-0.178632, -78.479699","2025-04-14T14:38:41","","",NA,NA,NA,NA,NA,"persona_2","2",40,"1","2","3",NA,NA,"1 6 10","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,4,33.6404333353043,34,0,0,0,0,1,1,1,2,0,1,1
657227221,"6e6d73b40f8444388109c7a5263cef17",2025-04-14 09:25:18.071,2025-04-14 09:51:49.765,"0.338104 -78.122187 2217.3713540649414 60.12095587327821","2025-04-13","phonenumber not found","11","0.34304 -78.1215 2219.639003753662 23.69642711895396","15","11-092647","1","1","1","3","1",4,2,0,2,0,0,2,"4",2,"2",20,60,0,10,"90","1",6,0,10,"16","1",10,10,"2",60,"80","1","4",150,"2","2","2","1","1","1","2","1",1,"2 4 6",30,3,20,0,0,"203","1",0,0,0,20,15,0,10,40,0,"434","1",0,40,"2",NA,NA,NA,NA,120,"12","1","1","vdpEhvMycVk9tHvRpaMkz5","uuid:f8ff056f-c3fb-4b71-9bb9-4524c1ed19d0","apTvGCaDwt2EKosqmDhXFG","f8ff056f-c3fb-4b71-9bb9-4524c1ed19d0","","submitted_via_web","0.338104, -78.122187","2025-04-14T14:51:51","","",NA,"999999","99999",NA,NA,"persona_1","1",24,"1","1","2",NA,NA,"1 10","4","1","6","19",60,NA,"8","2023-07-14","5","1",400,100,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5282333294551,27,0,0,0,0,1,1,1,2,0,1,1
657227221,"6e6d73b40f8444388109c7a5263cef17",2025-04-14 09:25:18.071,2025-04-14 09:51:49.765,"0.338104 -78.122187 2217.3713540649414 60.12095587327821","2025-04-13","phonenumber not found","11","0.34304 -78.1215 2219.639003753662 23.69642711895396","15","11-092647","1","1","1","3","1",4,2,0,2,0,0,2,"4",2,"2",20,60,0,10,"90","1",6,0,10,"16","1",10,10,"2",60,"80","1","4",150,"2","2","2","1","1","1","2","1",1,"2 4 6",30,3,20,0,0,"203","1",0,0,0,20,15,0,10,40,0,"434","1",0,40,"2",NA,NA,NA,NA,120,"12","1","1","vdpEhvMycVk9tHvRpaMkz5","uuid:f8ff056f-c3fb-4b71-9bb9-4524c1ed19d0","apTvGCaDwt2EKosqmDhXFG","f8ff056f-c3fb-4b71-9bb9-4524c1ed19d0","","submitted_via_web","0.338104, -78.122187","2025-04-14T14:51:51","","",NA,"999999","99999",NA,NA,"persona_2","2",20,"1","2","2",NA,NA,"1 10","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5282333294551,27,0,0,0,0,1,1,1,2,0,1,1
657236504,"6e6d73b40f8444388109c7a5263cef17",2025-04-14 09:51:49.808,2025-04-14 10:33:44.011,"0.344782 -78.123447 2211.3631410180938 22.4304614909417","2025-04-13","phonenumber not found","11","0.344774 -78.123482 2210.723635444204 16.451220351600938","15","11-100456","1","1","1","4","1",3,2,0,1,0,0,1,"3",1,"1",20,50,20,30,"120","1",6,0,20,"26","1",10,10,"4",NA,"NaN","1","4",120,"2","2","2","2","1","1","2","1",2,"2 4 6 7 9",30,5,20,0,0,"175","1",0,0,0,40,25,0,30,300,200,"NaN","1",50,0,"2",NA,NA,NA,NA,60,"1","1","1","vdpEhvMycVk9tHvRpaMkz5","uuid:b76bce00-9e6d-4472-8e16-28213f1c76a2","apTvGCaDwt2EKosqmDhXFG","b76bce00-9e6d-4472-8e16-28213f1c76a2","","submitted_via_web","0.344782, -78.123447","2025-04-14T15:33:45","","",NA,"999999999","999999999",NA,NA,"persona_1","2",35,"1","1","5","2","2","1 10","4","1","1","9",48,"2","1",NA,NA,NA,NA,NA,NA,"6","1",1500,"3 5 7 8",60,"4",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.9033833344777,42,0,0,0,0,1,0,1,1,0,0,0
657237348,"6e6d73b40f8444388109c7a5263cef17",2025-04-11 17:27:54.798,2025-04-14 10:35:41.979,"-0.96241 -80.722061 44.70000076293945 100","2025-04-10","phonenumber not found","12","-0.996899 -80.760531 49.29999923706055 7.949999809265137","10","12-103147","1","1","1","4","1",3,1,0,2,0,0,2,"3",2,"2",70,100,60,60,"290","1",30,0,12,"42","1",0,0,"2",74,"74","1","4",100,"3","6","88","4","2","1","1","1",1,"2 4 6 7",48,20,22,0,0,"190","1",450,250,0,0,50,0,200,200,600,"846","1",20,0,"1","1","3","1",40,250,"12",NA,NA,"v2UtqwQK75VACsoYkgYjZu","uuid:0b9d7074-41c2-44b5-971e-d5e0bb2bbda7","apTvGCaDwt2EKosqmDhXFG","0b9d7074-41c2-44b5-971e-d5e0bb2bbda7","","submitted_via_web","-0.96241, -80.722061","2025-04-14T15:35:45","","",NA,NA,NA,NA,NA,"persona_1","1",24,"1","1","3",NA,NA,"4","4","1","1","88",54,NA,"8",NA,NA,NA,NA,NA,NA,"88","9",1,"9",NA,"3","Delivery","Repartidor de encomiendas",NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3907.78635000388,3908,1,0,0,0,2,0,1,2,0,1,1
657237348,"6e6d73b40f8444388109c7a5263cef17",2025-04-11 17:27:54.798,2025-04-14 10:35:41.979,"-0.96241 -80.722061 44.70000076293945 100","2025-04-10","phonenumber not found","12","-0.996899 -80.760531 49.29999923706055 7.949999809265137","10","12-103147","1","1","1","4","1",3,1,0,2,0,0,2,"3",2,"2",70,100,60,60,"290","1",30,0,12,"42","1",0,0,"2",74,"74","1","4",100,"3","6","88","4","2","1","1","1",1,"2 4 6 7",48,20,22,0,0,"190","1",450,250,0,0,50,0,200,200,600,"846","1",20,0,"1","1","3","1",40,250,"12",NA,NA,"v2UtqwQK75VACsoYkgYjZu","uuid:0b9d7074-41c2-44b5-971e-d5e0bb2bbda7","apTvGCaDwt2EKosqmDhXFG","0b9d7074-41c2-44b5-971e-d5e0bb2bbda7","","submitted_via_web","-0.96241, -80.722061","2025-04-14T15:35:45","","",NA,NA,NA,NA,NA,"persona_2","2",26,"1","2","3",NA,NA,"5","4","1","6","88",40,NA,"8","2021-03-10","5","1",800,400,"2",NA,NA,NA,NA,NA,NA,"Cosmetología",NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3907.78635000388,3908,1,0,0,0,2,0,1,2,0,1,1
657238749,"6e6d73b40f8444388109c7a5263cef17",2025-04-14 10:04:29.499,2025-04-14 10:42:02.474,"-2.902142 -79.002725 2555.000244140625 12.973999977111816","2025-04-13","phonenumber not found","1","-2.902142 -79.002711 2555.000244140625 13.819000244140625","2","1-103502","1","1","1","4","1",5,0,1,1,2,1,2,"5",4,"4",100,200,500,500,"1300","1",0,50,100,"150","1",100,100,"4",NA,"200","1","4",350,"1","1","2","1","1","1","1","1",3,"2 4 5 6 7 8",100,40,27,0,0,"517","1",1,1,1,300,100,20,0,300,0,"NaN","1",150,0,"2",NA,NA,NA,NA,2500,"1 2 4 5","2","1","v2UtqwQK75VACsoYkgYjZu","uuid:e632ea95-3814-459d-8bd9-d93a901f9ed1","apTvGCaDwt2EKosqmDhXFG","e632ea95-3814-459d-8bd9-d93a901f9ed1","","submitted_via_web","-2.902142, -79.002725","2025-04-14T15:42:03","","",NA,"983406346","983406346",NA,NA,"persona_1","2",47,"1","1","7","2","2","2 3 5","4","1","6","9",15,"2","8","2022-09-23","2","2",5000,3500,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5495833317439,38,0,0,0,0,2,0,1,4,0,0,1
657238749,"6e6d73b40f8444388109c7a5263cef17",2025-04-14 10:04:29.499,2025-04-14 10:42:02.474,"-2.902142 -79.002725 2555.000244140625 12.973999977111816","2025-04-13","phonenumber not found","1","-2.902142 -79.002711 2555.000244140625 13.819000244140625","2","1-103502","1","1","1","4","1",5,0,1,1,2,1,2,"5",4,"4",100,200,500,500,"1300","1",0,50,100,"150","1",100,100,"4",NA,"200","1","4",350,"1","1","2","1","1","1","1","1",3,"2 4 5 6 7 8",100,40,27,0,0,"517","1",1,1,1,300,100,20,0,300,0,"NaN","1",150,0,"2",NA,NA,NA,NA,2500,"1 2 4 5","2","1","v2UtqwQK75VACsoYkgYjZu","uuid:e632ea95-3814-459d-8bd9-d93a901f9ed1","apTvGCaDwt2EKosqmDhXFG","e632ea95-3814-459d-8bd9-d93a901f9ed1","","submitted_via_web","-2.902142, -79.002725","2025-04-14T15:42:03","","",NA,"983406346","983406346",NA,NA,"persona_2","1",51,"1","2","7","2","2","2 3 6","4","1","7","9",15,"2","8","2023-09-23","1","2",500,100,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5495833317439,38,0,0,0,0,2,0,1,4,0,0,1
657238749,"6e6d73b40f8444388109c7a5263cef17",2025-04-14 10:04:29.499,2025-04-14 10:42:02.474,"-2.902142 -79.002725 2555.000244140625 12.973999977111816","2025-04-13","phonenumber not found","1","-2.902142 -79.002711 2555.000244140625 13.819000244140625","2","1-103502","1","1","1","4","1",5,0,1,1,2,1,2,"5",4,"4",100,200,500,500,"1300","1",0,50,100,"150","1",100,100,"4",NA,"200","1","4",350,"1","1","2","1","1","1","1","1",3,"2 4 5 6 7 8",100,40,27,0,0,"517","1",1,1,1,300,100,20,0,300,0,"NaN","1",150,0,"2",NA,NA,NA,NA,2500,"1 2 4 5","2","1","v2UtqwQK75VACsoYkgYjZu","uuid:e632ea95-3814-459d-8bd9-d93a901f9ed1","apTvGCaDwt2EKosqmDhXFG","e632ea95-3814-459d-8bd9-d93a901f9ed1","","submitted_via_web","-2.902142, -79.002725","2025-04-14T15:42:03","","",NA,"983406346","983406346",NA,NA,"persona_3","2",77,"1","7","3",NA,NA,"2 4 5","4","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5495833317439,38,0,0,0,0,2,0,1,4,0,0,1
